Sort,VcfOrder,SampID,Voucher,Year_coll,Cluster,Species,County,Ecoregion,Longitude,Latitude
89,MVZCCGP-CaOr124_I-D12,MVZCCGP-CaOr124_I-D12,SDNHM:Bird:55077,2017,Gambels,Callipepla_gambelii,San Bernardino County,Southern California Mountains and Valleys,-116.2549,34.0372
90,MVZCCGP-CaOr121_I-B12,MVZCCGP-CaOr121_I-B12,SDNHM:Bird:54894,2016,Gambels,Callipepla_gambelii,San Bernardino County,Mojave Desert,-115.39303,35.0149
91,MVZCCGP-CaOr9_II-F06,MVZCCGP-CaOr9_II-F06,MVZ:Bird:190749,2010,CC_NWCal,Callipepla_californica,Contra Costa County,Central California Coast,-122.1210651,37.8987009
92,MVZCCGP-CaOr96_I-A10,MVZCCGP-CaOr96_I-A10,MVZ:Bird:180654,2003,CC_NWCal,Callipepla_californica,Sonoma County,Northern California Coast,-122.71858,38.36322
93,MVZCCGP-CaOr97_I-B10,MVZCCGP-CaOr97_I-B10,MVZ:Bird:190103,2007,CC_NWCal,Callipepla_californica,Tehama County,Sierra Nevada Foothills,-122.177035,40.29568
94,MVZCCGP-CaOr159_II-H04,MVZCCGP-CaOr159_II-H04,MWFB:Bird:13669,2013,CC_NWCal,Callipepla_californica,Yolo County,Great Valley,-122.01601,38.523661
95,MVZCCGP-CaOr2_I-B01,MVZCCGP-CaOr2_I-B01,LACM:Bird:115509,2008,CC_SN,Callipepla_californica,Alpine County,Sierra Nevada,-119.81,38.733
96,MVZCCGP-CaOr63_I-A07,MVZCCGP-CaOr63_I-A07,SDMNH:Bird:53712,2012,CC_SoCal,Callipepla_californica,Riverside County,Southern California Mountains and Valleys,-116.679,33.8291
97,MVZCCGP-CaOr69_I-F07,MVZCCGP-CaOr69_I-F07,SDMNH:Bird:51818,2007,CC_SoCal,Callipepla_californica,San Diego County,Southern California Mountains and Valleys,-116.53,32.822
98,MVZCCGP-CaOr7_I-E01,MVZCCGP-CaOr7_I-E01,MVZ:Bird:183919,2009,CC_NWCal,Callipepla_californica,Contra Costa County,Central California Coast,-122.049762,37.816142
99,MVZCCGP-CaOr81_II-B02,MVZCCGP-CaOr81_II-B02,SDMNH:Bird:56237,2019,CC_SoCal,Callipepla_californica,San Diego County,Southern California Coast,-117.103,33.074
100,MVZCCGP-CaOr88_I-C09,MVZCCGP-CaOr88_I-C09,MVZ:Bird:182929,2007,CC_NWCal,Callipepla_californica,Shasta County,Southern Cascades,-121.81513,40.51234
101,MVZCCGP-CaOr109_I-B11,MVZCCGP-CaOr109_I-B11,LACM:Bird:115164,2008,Gambels,Callipepla_gambelii,Riverside County,Colorado Desert,-116.36,33.72
